actual,predicted
170.1,173.68405
117.5,104.29026
188.24,171.55672
170.1,168.25713
192.5,183.55095
215.0,216.87518
177.5,177.4399
217.5,206.98799
182.5,168.55151
136.08,152.22824
200.0,211.37717
183.7,171.57796
197.5,197.55013
142.88,156.07523
230.0,237.4428
245.0,290.0708
112.5,114.143105
102.06,128.09097
140.0,115.56435
192.5,190.70525
165.56,188.64308
140.0,140.87161
165.56,172.87682
215.46,214.38614
105.0,120.67558
322.5,304.05722
136.08,166.77661
233.6,207.03036
172.37,180.13841
322.5,333.8028
227.5,217.4491
250.0,286.86823
145.0,158.97423
110.0,124.34216
145.0,131.63951
202.5,191.91708
200.0,193.82207
233.6,237.12178
129.27,137.08022
170.0,180.46574
200.0,175.44717
154.22,153.51596
302.5,262.04593
202.5,187.92424
206.38,213.97073
215.0,217.8919
185.0,189.27043
130.0,123.945755
187.5,186.19313
250.0,253.86804
220.0,203.07454
307.08,313.70615
255.0,243.40413
200.0,233.97774
227.5,233.59677
232.5,256.04202
207.5,185.44792
125.0,133.67188
212.5,213.55385
275.0,296.93323
215.46,204.48956
102.06,155.54585
240.0,244.6271
212.5,202.74919
131.54,104.268684
226.8,209.73433
115.67,130.17316
235.0,224.3937
272.16,248.76535
175.0,183.97128
176.9,156.03241
102.5,109.03563
163.29,176.16206
112.5,115.40161
117.93,114.885345
265.0,272.3699
272.16,298.57907
165.0,167.96895
201.85,200.72293
260.0,216.80324
240.0,236.4999
317.5,293.60727
145.0,147.93369
190.0,215.57443
342.51,297.36215
127.5,124.75526
252.5,246.77992
255.0,230.6405
202.5,206.41193
175.0,197.46193
117.93,116.54463
300.0,307.55817
130.0,128.66518
355.0,341.94116
305.0,298.79977
270.0,247.58372
120.0,132.21263
160.0,168.09079
129.27,137.14693
226.8,239.69016
154.22,154.22449
249.48,241.01236
192.78,211.43704
195.0,213.27542
181.44,196.11612
202.5,198.11874
112.5,89.92425
172.5,202.39731
202.5,208.5674
226.8,214.42981
177.5,193.31235
142.88,155.02525
190.0,203.71307
250.02,224.85634
280.0,273.3083
200.0,197.13219
258.55,206.16725
165.0,190.68893
312.5,288.27383
190.51,219.73029
215.46,262.79504
256.28,256.01614
222.5,226.86777
225.0,281.10162
242.5,230.11009
142.5,163.4188
167.5,146.89601
160.0,154.96313
140.0,145.97269
142.88,160.63927
192.5,189.9119
262.5,241.10771
212.5,214.32582
185.97,178.96103
210.0,216.78668
90.0,110.3653
287.5,283.03198
160.0,157.46155
202.5,214.20352
172.37,166.02267
156.49,160.70163
160.0,149.74532
183.7,189.37755
205.0,216.99663
287.5,281.76276
288.03,296.70108
163.29,151.65051
95.0,113.177925
240.0,234.2261
127.01,155.14339
222.5,202.22862
220.0,186.26144
162.5,143.53633
295.0,286.7204
267.5,245.40077
108.86,113.718956
307.5,294.00812
227.5,250.86064
205.0,224.27502
235.0,224.31912
142.88,143.16393
120.0,118.68539
127.5,144.62955
127.5,130.97736
220.0,179.50304
217.72,228.41467
185.0,176.73683
120.0,119.22185
220.0,201.64928
285.0,243.2778
185.0,217.30855
200.0,221.92451
132.5,169.04077
142.5,132.28354
122.5,105.001175
332.5,307.76538
235.87,227.187
142.5,132.90834
195.0,212.90608
320.0,298.12418
195.0,207.37027
260.0,236.77423
127.5,140.9353
181.44,216.37375
120.0,124.90337
230.0,218.07585
295.0,236.65297
217.5,225.13737
275.0,230.7272
204.12,211.45557
87.5,113.245964
150.0,183.59457
324.32,296.4041
160.0,155.16006
320.0,319.6203
149.69,163.22173
80.0,96.886345
297.5,293.71036
160.0,151.89792
190.51,163.79535
240.4,241.49895
120.0,109.16667
265.0,250.5182
182.5,166.43892
77.5,82.76488
252.5,257.7961
225.0,246.33405
275.0,264.11215
162.5,172.53558
190.51,196.28288
240.5,188.48259
205.0,194.89313
95.0,108.7718
187.5,197.64478
165.56,162.63704
302.5,266.82635
152.5,153.66853
207.5,248.03864
122.47,150.89754
158.8,143.06325
265.0,277.7691
172.37,181.3237
200.0,203.5587
215.0,207.18098
170.0,168.45023
107.5,121.93347
270.0,279.16428
204.12,210.8527
295.0,299.3662
145.0,128.68172
290.0,279.52945
142.5,132.60901
147.5,143.5084
190.51,207.10518
204.12,175.95969
104.33,101.66341
215.0,247.00192
105.0,133.94818
124.74,164.47954
240.0,234.4676
130.0,135.13199
242.5,285.47046
212.5,232.35818
120.0,125.572815
265.35,253.86311
102.5,90.6983
124.74,124.276375
150.0,132.63231
227.5,227.6879
235.0,248.81947
272.5,260.15793
170.0,167.50972
145.15,124.75662
160.0,155.4369
122.5,122.259926
81.65,97.07344
201.85,210.87958
245.0,269.77853
150.0,121.39788
272.5,287.3848
197.5,229.25938
215.0,205.73074
217.5,244.95566
60.0,74.96277
257.5,228.8403
230.0,224.34286
277.5,259.45526
225.0,249.0927
167.83,160.79079
145.0,130.46118
212.5,236.18555
177.5,184.82161
90.0,91.18644
132.5,125.2107
157.5,145.4063
127.01,137.99657
227.5,198.13396
242.5,244.29355
137.48,155.0559
137.5,134.59055
247.5,239.15103
201.85,187.78836
145.01,126.270035
240.0,226.38986
167.5,190.2658
172.5,172.27597
183.7,198.31828
155.0,156.17392
217.5,235.86876
80.0,138.3071
133.81,148.4554
222.3,197.42598
95.0,126.7275
120.02,141.568
204.12,201.81299
176.9,166.86517
210.0,192.15782
145.0,130.44582
182.5,208.52496
245.0,256.05334
140.0,139.12038
287.5,277.4657
137.5,143.71982
240.0,232.99553
125.0,117.28881
300.0,261.8312
250.0,213.37059
81.65,88.85666
151.95,154.53542
137.5,121.569
142.5,151.87297
247.5,268.10953
149.69,161.81897
142.88,166.78197
149.69,138.37212
182.5,193.16281
145.15,139.49652
283.5,263.0323
262.5,246.2101
197.5,215.90698
145.15,137.89822
154.2,128.56924
192.5,197.3748
300.0,279.29453
245.0,239.86076
283.5,289.87827
219.99,244.29228
225.0,225.54385
142.5,139.23254
117.5,99.8624
210.0,211.33037
249.48,252.93549
227.5,214.23274
117.93,147.64423
122.5,133.6982
