BestSquatKg,BestBenchKg,BodyweightKg,Sex,Equipment,BestDeadliftKg
154.22,111.13,73.48,M,Single-ply,181.44
170.1,97.52,74.03,M,Single-ply,170.1
142.5,67.5,78.2,F,Raw,170.0
105.0,57.5,68.8,F,Raw,130.0
155.0,75.0,71.06,F,Raw,170.0
160.0,92.5,101.8,M,Raw,192.5
115.0,47.5,52.0,F,Single-ply,127.5
215.46,124.74,88.54,M,Wraps,215.46
77.5,50.0,55.3,F,Raw,105.0
165.0,87.5,83.0,M,Single-ply,182.5
217.5,142.5,107.1,M,Raw,242.5
160.0,100.0,107.8,M,Single-ply,200.0
215.46,138.35,91.26,M,Single-ply,197.31
92.5,40.0,59.6,F,Single-ply,100.0
300.0,210.0,109.0,M,Single-ply,280.0
207.5,155.0,129.2,M,Raw,227.5
170.0,100.0,101.6,M,Raw,205.0
205.0,127.5,110.8,M,Raw,205.0
210.0,145.0,93.0,M,Raw,210.0
170.1,95.25,69.67,F,Wraps,185.97
151.95,77.11,86.0,M,Single-ply,165.56
170.0,155.0,125.74,M,Raw,220.0
62.5,50.0,78.2,F,Raw,102.5
190.0,135.0,99.0,M,Raw,227.5
265.35,188.24,107.05,M,Raw,276.69
192.5,135.0,89.2,M,Wraps,215.0
145.15,63.5,138.07,F,Wraps,158.76
340.19,251.74,98.88,M,Single-ply,292.57
220.0,142.9,115.44,M,Single-ply,238.1
137.5,112.5,74.39,M,Raw,200.0
181.44,131.54,81.01,M,Wraps,233.6
82.5,50.0,74.6,F,Raw,125.0
181.44,124.74,80.92,M,Single-ply,188.24
240.0,170.0,132.0,M,Single-ply,282.5
199.58,158.76,91.35,M,Wraps,249.48
149.69,90.72,63.05,M,Single-ply,167.83
204.12,149.69,92.67,M,Single-ply,197.31
131.54,72.57,55.16,M,Single-ply,133.81
124.74,65.77,67.0,M,Single-ply,142.88
195.04,99.79,70.31,M,Single-ply,215.46
220.0,140.0,81.8,M,Single-ply,220.0
115.0,52.5,61.6,F,Single-ply,110.0
170.1,102.06,138.25,M,Wraps,204.12
225.0,135.0,73.9,M,Raw,262.5
265.35,167.83,95.98,M,Single-ply,292.57
227.5,152.5,114.7,M,Raw,265.0
182.5,102.5,74.0,M,Raw,215.0
205.0,160.0,81.46,M,Raw,230.0
260.0,137.5,106.5,M,Raw,242.5
227.5,127.5,91.26,M,Wraps,227.5
300.0,180.0,119.1,M,Raw,320.0
75.0,45.0,83.7,M,Raw,85.0
145.15,77.11,72.3,M,Single-ply,147.42
149.69,74.84,61.78,M,Single-ply,165.56
238.14,145.15,127.69,M,Single-ply,199.58
222.26,147.42,105.51,M,Single-ply,247.21
295.0,150.0,89.4,M,Single-ply,340.0
125.0,75.0,85.1,F,Raw,150.0
127.01,56.7,55.79,F,Wraps,133.81
182.5,110.0,99.3,M,Raw,237.5
120.2,90.72,75.48,M,Single-ply,161.03
120.0,57.5,62.25,F,Raw,152.5
190.0,122.5,67.13,M,Single-ply,200.0
83.91,43.09,48.53,M,Single-ply,88.45
95.0,55.0,87.6,F,Raw,120.0
180.0,117.5,72.5,M,Raw,195.0
167.83,97.52,98.07,M,Single-ply,183.7
129.27,83.91,58.06,M,Single-ply,149.69
185.0,90.0,86.7,M,Raw,202.5
182.34,138.35,72.12,M,Wraps,208.65
132.5,102.5,79.0,M,Raw,140.0
302.5,210.0,131.5,M,Raw,330.0
155.0,97.5,66.04,M,Single-ply,185.0
150.0,80.0,74.21,F,Wraps,145.0
125.0,95.0,82.3,M,Raw,165.0
30.0,17.5,34.93,F,Wraps,52.5
195.0,125.0,80.3,M,Wraps,220.0
267.62,158.76,108.95,M,Single-ply,258.55
90.0,65.0,70.7,M,Raw,150.0
113.4,61.23,54.88,M,Single-ply,108.86
205.0,142.5,93.5,M,Raw,260.0
90.72,52.16,57.61,M,Single-ply,117.93
233.6,138.35,98.52,M,Wraps,238.14
102.5,50.0,69.4,F,Raw,120.0
72.57,43.09,58.06,M,Single-ply,90.72
150.0,77.5,77.11,M,Wraps,197.5
152.5,132.5,82.5,M,Raw,222.5
181.44,122.47,95.71,M,Single-ply,185.97
140.0,125.0,81.8,M,Raw,172.5
170.0,102.5,66.0,M,Raw,217.5
230.0,132.5,82.8,M,Raw,300.0
351.53,260.82,110.59,M,Multi-ply,340.19
270.0,172.5,73.88,M,Single-ply,275.0
150.0,80.0,71.4,M,Raw,185.0
238.14,165.56,98.97,M,Single-ply,231.33
120.0,67.5,69.6,F,Single-ply,112.5
95.0,52.5,79.8,F,Raw,117.5
161.03,99.79,103.06,M,Single-ply,151.95
142.5,110.0,89.8,F,Raw,180.0
187.5,125.0,107.59,M,Wraps,230.0
262.5,162.5,90.2,M,Raw,290.0
250.0,145.0,75.0,M,Wraps,237.5
220.0,160.0,105.7,M,Single-ply,235.0
82.5,90.0,74.9,M,Raw,160.0
244.94,136.08,88.63,M,Single-ply,254.01
75.0,32.5,68.6,F,Raw,90.0
110.0,65.0,62.25,F,Raw,145.0
77.5,42.5,55.97,F,Raw,95.0
150.0,85.0,71.7,F,Single-ply,142.5
70.31,47.63,50.71,F,Raw,122.47
125.0,115.0,125.6,M,Single-ply,215.0
156.5,59.0,63.87,F,Single-ply,163.3
140.0,87.5,77.95,F,Raw,165.0
300.0,207.5,65.62,M,Single-ply,275.0
197.5,112.5,81.8,M,Wraps,227.5
140.0,95.0,78.9,M,Raw,200.0
315.0,227.5,137.98,M,Raw,282.5
249.48,140.61,86.64,M,Wraps,244.94
158.76,81.65,59.6,F,Single-ply,163.29
112.5,65.0,62.5,F,Raw,155.0
175.0,90.0,89.9,M,Single-ply,195.0
306.17,242.67,120.84,M,Wraps,290.3
205.0,132.5,79.75,M,Raw,210.0
197.5,105.0,119.1,M,Raw,242.5
230.0,182.5,99.2,M,Single-ply,252.5
267.5,155.0,99.7,M,Wraps,242.5
97.5,62.5,75.0,F,Raw,130.0
182.5,125.0,101.4,M,Raw,232.5
226.8,127.0,102.0,M,Raw,249.5
97.5,65.0,61.7,F,Raw,115.0
232.5,172.5,108.6,M,Raw,287.5
275.0,187.5,136.62,M,Wraps,265.0
90.72,61.23,55.79,M,Single-ply,120.2
210.0,125.0,110.1,M,Single-ply,227.5
137.0,70.0,82.5,F,Single-ply,132.5
172.5,87.5,73.0,F,Wraps,175.0
227.5,137.5,89.6,M,Raw,290.0
222.5,140.0,70.15,M,Raw,245.0
167.5,122.5,80.8,M,Raw,187.5
152.5,97.5,81.84,M,Raw,195.0
265.0,135.0,65.2,M,Single-ply,130.0
163.29,90.72,69.13,M,Raw,185.97
155.0,140.0,101.96,M,Raw,167.5
222.5,137.5,87.8,M,Raw,255.0
